date,kind,ticker,detail
2007-12-20,stale_list,TRB,"record dates this removal to 2007-12-20, but the list still disagreed at 2008-01-09; trusting the record"
2008-02-10,false_gap,ANF,"vanished for 271 days and returned as the same company with no record at either boundary; the article lost the row, so the gap is closed"
2008-02-10,false_gap,DDR,"vanished for 271 days and returned as the same company with no record at either boundary; the article lost the row, so the gap is closed"
2008-02-10,false_gap,HST,"vanished for 271 days and returned as the same company with no record at either boundary; the article lost the row, so the gap is closed"
2008-02-10,false_gap,KFT,"vanished for 271 days and returned as the same company with no record at either boundary; the article lost the row, so the gap is closed"
2008-06-10,stale_list,ABK,"record dates this removal to 2008-06-10, but the list still disagreed at 2008-06-20; trusting the record"
2008-06-10,stale_list,LO,"record dates this addition to 2008-06-10, but the list still disagreed at 2008-08-08; trusting the record"
2008-06-23,stale_list,MEE,"record dates this addition to 2008-06-23, but the list still disagreed at 2008-08-08; trusting the record"
2008-06-23,stale_list,OMX,"record dates this removal to 2008-06-23, but the list still disagreed at 2008-08-08; trusting the record"
2008-07-01,stale_list,AKS,"record dates this addition to 2008-07-01, but the list still disagreed at 2008-08-08; trusting the record"
2008-09-12,false_gap,BCR,"vanished for 35 days and returned as the same company with no record at either boundary; the article lost the row, so the gap is closed"
2008-12-31,stale_list,OI,"record dates this addition to 2008-12-31, but the list still disagreed at 2009-02-22; trusting the record"
2008-12-31,stale_list,WB,"record dates this removal to 2008-12-31, but the list still disagreed at 2009-02-22; trusting the record"
2009-03-03,stale_list,HRL,"record dates this addition to 2009-03-03, but the list still disagreed at 2009-04-06; trusting the record"
2009-03-03,stale_list,JNY,"record dates this removal to 2009-03-03, but the list still disagreed at 2009-03-18; trusting the record"
2009-03-03,stale_list,VTR,"record dates this addition to 2009-03-03, but the list still disagreed at 2009-03-18; trusting the record"
2009-06-05,issuer_changed,FTI,"run from 2009-06-05 states several CIKs (0001135152, 0001681459); published value is the most stated"
2009-06-25,phantom_removal,TEL,record dated 2009-06-25 matches no transition in the snapshots
2009-06-29,stale_list,PCS,"record dates this addition to 2009-06-29, but the list still disagreed at 2009-07-04; trusting the record"
2009-08-19,stale_list,CTX,"record dates this removal to 2009-08-19, but the list still disagreed at 2009-10-01; trusting the record"
2009-08-19,stale_list,FMC,"record dates this addition to 2009-08-19, but the list still disagreed at 2009-10-01; trusting the record"
2009-09-28,stale_list,ARG,"record dates this addition to 2009-09-28, but the list still disagreed at 2010-07-11; trusting the record"
2009-09-28,stale_list,CBE,"record dates this removal to 2009-09-28, but the list still disagreed at 2010-07-11; trusting the record"
2009-11-03,stale_list,PCLN,"record dates this addition to 2009-11-03, but the list still disagreed at 2010-07-11; trusting the record"
2009-11-03,stale_list,SGP,"record dates this removal to 2009-11-03, but the list still disagreed at 2009-12-31; trusting the record"
